name,name2,202208人気度,202208知名度,202302人気度,202302知名度,202208DA,202209DA,202210DA,202211DA,202212DA,202301DA,202302DA,202208BR,202209BR,202210BR,202211BR,202212BR,202301BR,202302BR
川平慈英,川平慈英,15.2,84.4,14.5,88.3,7269,14130,5012,56684,18056,4927,3114,8.52E-06,4.03E-05,3.80E-06,0.0006311009028,7.04E-05,4.46E-06,2.46E-06
神尾楓珠,神尾楓珠,8.3,38.6,7.3,37.5,63485,48324,26407,19495,22119,90488,36269,0.001289276245,0.000743665628,0.000279905024,0.0001759778054,0.0002178354423,0.001097791546,0.0004704956187
上川隆也,上川隆也,17.2,73.3,17.3,73.1,33155,23923,13926,11887,17299,48991,11636,0.0002266093898,0.0001596908672,6.06E-05,6.01E-05,0.0001023765387,0.0003210435101,7.08E-05
神木隆之介,神木隆之介,33.8,89.2,32.9,88.3,21447,26190,28842,48763,31473,34697,18853,0.0005488429111,0.0006153336906,0.0009658014449,0.001647469787,0.0009341225402,0.0005888827261,0.0004104016476
上地雄輔,上地雄輔,8.8,85.5,10.8,87.4,38906,16571,9424,10106,7703,10913,8849,0.0007527855271,0.0002455688529,8.22E-05,0.0001589173155,0.0001125321005,0.0001140835552,0.0001906855201
亀梨和也,亀梨和也,21.8,93.6,19.1,92.6,13756,10484,13738,11747,12358,18501,12998,0.0003581264846,0.000180942257,0.0002911310175,0.0003411198582,0.0002687887816,0.0004073255733,0.0003307149304
唐沢寿明,唐沢寿明,30.8,84.2,31.2,87.3,10944,12549,11150,10073,8414,13051,10176,0.0006039118263,0.0007266348452,0.0006311112355,0.0007496546168,0.0006528445303,0.0006234923701,0.0007605426728
河合郁人,河合郁人,10.8,61.4,15.8,65,28033,10831,14835,13259,9365,9580,12507,0.0001055571518,1.63E-05,3.33E-05,3.38E-05,1.55E-05,8.90E-06,3.17E-05
川島明,川島明,25.8,86.4,28.1,87.3,36433,32463,25941,20471,49604,26118,20181,0.0001782946767,0.0001466831381,0.0001019232852,8.06E-05,0.0004348867027,6.62E-05,8.89E-05
神田正輝,神田正輝,6.9,75.4,6.7,77.3,8700,7385,10106,5413,8574,9017,6514,0.0003155522678,0.000245808911,0.0003813367241,0.0001711098378,0.0004348740959,0.0001730994711,0.0002199849642
カンニング竹山,カンニング竹山,16.6,94,16.3,94.3,11537,12450,9179,15585,11743,15128,12596,0.0002583023706,0.0002724616356,0.0002693029671,0.0004021432547,0.0003317664814,0.0003283393138,0.0006783390096
菊池風磨,菊池風磨,22.8,64.4,25,68.1,139466,52615,40883,33166,34278,64338,143802,0.00590444958,0.001201632506,0.0009022081959,0.0008094260522,0.0009069812766,0.001362032633,0.009145060677
岸優太,岸優太,17.3,59.1,21.4,64.6,21519,29131,21445,77970,23536,39180,31216,0.000466869298,0.0004861681957,0.0003743722476,0.009859741389,0.001525158632,0.001528809674,0.001824722704
岸谷五朗,岸谷五朗,13.5,75.4,13.6,76.5,7247,5657,7158,7147,12919,18518,15198,8.03E-05,6.50E-05,0.0001209646307,9.87E-05,0.0002319227284,0.0001714613619,0.0002930150913
岸部一徳,岸部一徳,19.3,86.2,22.1,88.1,14224,14862,28822,11896,11820,18597,25826,9.24E-05,0.0001336039125,0.00022950553,9.42E-05,6.84E-05,0.0001232168366,0.0002604404815
北大路欣也,北大路欣也,21.6,87.6,26.4,90.1,17287,16271,16204,20265,21993,44789,12384,4.01E-05,3.68E-05,3.98E-05,0.0001089361144,0.0001047179631,0.0002172555192,4.20E-05
北村一輝,北村一輝,27.3,83,25.8,85.8,36730,189752,36956,12587,25731,33639,21309,0.0004804929628,0.007776774754,0.0008734555953,0.0001423330105,0.0003694662489,0.0003535813486,0.0005655732823
北村匠海,北村匠海,21.8,68,24.8,74,45281,27249,25295,19660,34308,122792,127394,0.0008339323048,0.0004117606992,0.0005592388653,0.001314187996,0.0009422377014,0.003131009107,0.008628236519
北村有起哉,北村有起哉,5.7,43.2,7.1,48.8,68596,10360,10317,6594,52284,7515,4377,0.0009888507814,0.0001806198591,1.61E-05,8.36E-06,0.0005314241761,1.16E-05,7.90E-06
北山宏光,北山宏光,4.6,58.4,5.1,60.2,7774,6948,4297,4971,5039,9780,5040,8.30E-05,3.78E-05,1.57E-05,2.43E-05,2.08E-05,3.83E-05,1.52E-05
吉川晃司,吉川晃司,16.8,80.2,20,79.6,20091,18343,50180,66854,221281,22601,15899,0.0002189671962,0.0002367655499,0.0008930715491,0.001635069457,0.01113877709,0.000214942013,0.0002189101637
